visitante   vs    local     marcador   
1   Toluca   Pachuca   0   2
2   Pachuca   Toluca   0   4
3   Chivas   America   0   3
4   America   Chivas   4   2
5   Toluca   Pachuca   3   4
6   Pachuca   Toluca   4   0
7   Chivas   America   0   4
8   America   Chivas   2   0
9   Toluca   Pachuca   4   4
10   Pachuca   Toluca   3   0
11   Chivas   America   0   1
12   America   Chivas   1   1
13   Toluca   Pachuca   3   0
14   Pachuca   Toluca   2   4
15   Chivas   America   2   0
16   America   Chivas   0   3

1   Toluca   Chivas   3   2
2   Pachuca   America   1   0
3   Chivas   Toluca   0   4
4   America   Pachuca   2   2
5   Toluca   Chivas   0   3
6   Pachuca   America   3   4
7   Chivas   Toluca   3   2
8   America   Pachuca   3   3
9   Toluca   Chivas   4   3
10   Pachuca   America   0   3
11   Chivas   Toluca   0   4
12   America   Pachuca   2   2
13   Toluca   Chivas   4   4
14   Pachuca   America   0   1
15   Chivas   Toluca   2   2
16   America   Pachuca   1   1

1   Toluca   America   3   4
2   Pachuca   Chivas   3   3
3   Chivas   Pachuca   0   1
4   America   Toluca   2   1
5   Toluca   America   1   0
6   Pachuca   Chivas   1   1
7   Chivas   Pachuca   4   3
8   America   Toluca   1   3
9   Toluca   America   3   0
10   Pachuca   Chivas   0   0
11   Chivas   Pachuca   4   1
12   America   Toluca   1   2
13   Toluca   America   3   3
14   Pachuca   Chivas   3   0
15   Chivas   Pachuca   1   2
16   America   Toluca   1   2

1   Toluca   Toluca   3   3
2   Pachuca   Pachuca   2   4
3   Chivas   Chivas   1   0
4   America   America   1   2
5   Toluca   Toluca   1   4
6   Pachuca   Pachuca   1   4
7   Chivas   Chivas   4   0
8   America   America   3   4
9   Toluca   Toluca   2   2
10   Pachuca   Pachuca   0   1
11   Chivas   Chivas   2   3
12   America   America   4   0
13   Toluca   Toluca   1   0
14   Pachuca   Pachuca   3   3
15   Chivas   Chivas   2   4
16   America   America   3   4

1   Toluca   Pachuca   1   4
2   Pachuca   Toluca   4   3
3   Chivas   America   4   4
4   America   Chivas   4   1
5   Toluca   Pachuca   0   2
6   Pachuca   Toluca   4   2
7   Chivas   America   3   0
8   America   Chivas   3   4
9   Toluca   Pachuca   3   2
10   Pachuca   Toluca   0   1
11   Chivas   America   0   4
12   America   Chivas   4   2
13   Toluca   Pachuca   4   1
14   Pachuca   Toluca   2   3
15   Chivas   America   1   0
16   America   Chivas   4   0

1   Toluca   Chivas   3   0
2   Pachuca   America   1   0
3   Chivas   Toluca   1   3
4   America   Pachuca   0   2
5   Toluca   Chivas   4   1
6   Pachuca   America   2   4
7   Chivas   Toluca   3   1
8   America   Pachuca   0   2
9   Toluca   Chivas   3   1
10   Pachuca   America   1   2
11   Chivas   Toluca   3   4
12   America   Pachuca   3   0
13   Toluca   Chivas   4   3
14   Pachuca   America   2   3
15   Chivas   Toluca   2   0
16   America   Pachuca   4   3

1   Toluca   America   2   3
2   Pachuca   Chivas   0   4
3   Chivas   Pachuca   2   4
4   America   Toluca   4   3
5   Toluca   America   1   1
6   Pachuca   Chivas   2   3
7   Chivas   Pachuca   4   2
8   America   Toluca   0   2
9   Toluca   America   1   2
10   Pachuca   Chivas   3   3
11   Chivas   Pachuca   4   1
12   America   Toluca   3   1
13   Toluca   America   2   2
14   Pachuca   Chivas   0   3
15   Chivas   Pachuca   2   2
16   America   Toluca   4   2

1   Toluca   Toluca   1   4
2   Pachuca   Pachuca   2   4
3   Chivas   Chivas   0   4
4   America   America   4   4
5   Toluca   Toluca   1   1
6   Pachuca   Pachuca   1   0
7   Chivas   Chivas   0   0
8   America   America   4   3
9   Toluca   Toluca   2   2
10   Pachuca   Pachuca   4   1
11   Chivas   Chivas   2   4
12   America   America   3   1
13   Toluca   Toluca   1   3
14   Pachuca   Pachuca   2   2
15   Chivas   Chivas   0   1
16   America   America   4   2

1   Toluca   Pachuca   1   1
2   Pachuca   Toluca   3   0
3   Chivas   America   2   2
4   America   Chivas   4   3
5   Toluca   Pachuca   3   2
6   Pachuca   Toluca   3   1
7   Chivas   America   3   2
8   America   Chivas   4   2
9   Toluca   Pachuca   3   2
10   Pachuca   Toluca   2   3
11   Chivas   America   3   4
12   America   Chivas   3   3
13   Toluca   Pachuca   1   3
14   Pachuca   Toluca   1   0
15   Chivas   America   0   1
16   America   Chivas   1   4

1   Toluca   Chivas   4   2
2   Pachuca   America   3   2
3   Chivas   Toluca   1   3
4   America   Pachuca   0   1
5   Toluca   Chivas   2   1
6   Pachuca   America   1   3
7   Chivas   Toluca   4   3
8   America   Pachuca   0   1
9   Toluca   Chivas   1   1
10   Pachuca   America   3   3
11   Chivas   Toluca   0   0
12   America   Pachuca   2   2
13   Toluca   Chivas   4   1
14   Pachuca   America   1   0
15   Chivas   Toluca   3   0
16   America   Pachuca   3   0

1   Toluca   America   2   2
2   Pachuca   Chivas   0   1
3   Chivas   Pachuca   3   2
4   America   Toluca   0   2
5   Toluca   America   0   4
6   Pachuca   Chivas   0   0
7   Chivas   Pachuca   3   0
8   America   Toluca   4   2
9   Toluca   America   3   2
10   Pachuca   Chivas   0   4
11   Chivas   Pachuca   3   0
12   America   Toluca   0   4
13   Toluca   America   1   1
14   Pachuca   Chivas   4   3
15   Chivas   Pachuca   3   2
16   America   Toluca   3   2

1   Toluca   Toluca   3   0
2   Pachuca   Pachuca   0   1
3   Chivas   Chivas   0   2
4   America   America   1   0
5   Toluca   Toluca   2   0
6   Pachuca   Pachuca   4   2
7   Chivas   Chivas   1   3
8   America   America   3   4
9   Toluca   Toluca   0   1
10   Pachuca   Pachuca   1   2
11   Chivas   Chivas   2   4
12   America   America   0   2
13   Toluca   Toluca   2   1
14   Pachuca   Pachuca   4   0
15   Chivas   Chivas   1   3
16   America   America   1   1

1   Toluca   Pachuca   0   3
2   Pachuca   Toluca   3   2
3   Chivas   America   0   4
4   America   Chivas   3   4
5   Toluca   Pachuca   3   3
6   Pachuca   Toluca   2   0
7   Chivas   America   4   0
8   America   Chivas   1   4
9   Toluca   Pachuca   1   2
10   Pachuca   Toluca   2   2
11   Chivas   America   4   3
12   America   Chivas   3   3
13   Toluca   Pachuca   3   3
14   Pachuca   Toluca   3   1
15   Chivas   America   1   1
16   America   Chivas   2   1

1   Toluca   Chivas   3   1
2   Pachuca   America   4   2
3   Chivas   Toluca   1   3
4   America   Pachuca   3   2
5   Toluca   Chivas   0   0
6   Pachuca   America   4   0
7   Chivas   Toluca   0   0
8   America   Pachuca   4   2
9   Toluca   Chivas   0   3
10   Pachuca   America   2   3
11   Chivas   Toluca   1   3
12   America   Pachuca   0   3
13   Toluca   Chivas   3   0
14   Pachuca   America   3   4
15   Chivas   Toluca   1   0
16   America   Pachuca   2   1

1   Toluca   America   4   0
2   Pachuca   Chivas   1   1
3   Chivas   Pachuca   1   1
4   America   Toluca   0   0
5   Toluca   America   0   2
6   Pachuca   Chivas   0   0
7   Chivas   Pachuca   3   1
8   America   Toluca   1   4
9   Toluca   America   3   1
10   Pachuca   Chivas   2   4
11   Chivas   Pachuca   3   3
12   America   Toluca   4   3
13   Toluca   America   0   2
14   Pachuca   Chivas   1   4
15   Chivas   Pachuca   2   3
16   America   Toluca   2   4

